Week,recruitment,resume,employment,monster,joblist
6/2/2013,75,86,95,84,25
6/9/2013,76,88,97,88,25
6/16/2013,75,86,93,89,26
6/23/2013,77,81,93,93,24
6/30/2013,64,70,79,82,23
7/7/2013,76,86,98,90,30
7/14/2013,75,84,96,88,27
7/21/2013,75,85,93,89,29
7/28/2013,73,85,95,95,24
8/4/2013,73,85,91,87,28
8/11/2013,73,86,95,89,30
8/18/2013,78,89,93,91,28
8/25/2013,73,88,86,86,27
9/1/2013,70,85,86,87,23
9/8/2013,71,92,86,89,33
9/15/2013,69,88,85,100,28
9/22/2013,71,92,86,88,30
9/29/2013,71,85,85,80,31
10/6/2013,68,84,83,81,34
10/13/2013,68,82,81,78,28
10/20/2013,69,82,85,76,29
10/27/2013,67,78,81,73,27
11/3/2013,71,82,85,75,29
11/10/2013,71,82,81,68,25
11/17/2013,68,77,78,66,27
11/24/2013,51,54,57,50,19
12/1/2013,63,71,73,64,28
12/8/2013,61,68,71,59,26
12/15/2013,57,65,67,56,23
12/22/2013,44,44,50,42,16
12/29/2013,61,64,69,59,20
1/5/2014,78,94,92,80,29
1/12/2014,79,97,92,76,30
1/19/2014,75,90,85,67,30
1/26/2014,73,93,88,71,26
2/2/2014,69,88,82,69,30
2/9/2014,62,83,75,63,29
2/16/2014,67,83,81,64,27
2/23/2014,70,88,81,71,30
3/2/2014,68,88,82,62,28
3/9/2014,67,83,81,65,24
3/16/2014,69,86,82,65,25
3/23/2014,70,88,88,64,27
3/30/2014,70,87,86,59,30
4/6/2014,70,88,88,57,29
4/13/2014,71,84,86,59,24
4/20/2014,72,87,91,62,27
4/27/2014,72,87,87,58,27
5/4/2014,71,86,88,56,27
5/11/2014,74,86,89,55,26
5/18/2014,77,89,87,54,26
5/25/2014,74,81,82,54,26
6/1/2014,81,85,89,55,26
6/8/2014,81,82,86,57,25
6/15/2014,78,83,86,52,25
6/22/2014,81,81,86,49,28
6/29/2014,73,69,78,45,26
7/6/2014,80,82,89,61,25
7/13/2014,82,84,89,53,30
7/20/2014,82,87,87,50,29
7/27/2014,82,84,88,54,27
8/3/2014,82,82,85,56,25
8/10/2014,78,78,84,52,28
8/17/2014,77,88,81,51,25
8/24/2014,77,83,82,49,29
8/31/2014,73,85,76,45,23
9/7/2014,79,91,82,52,29
9/14/2014,78,93,78,51,30
9/21/2014,79,90,78,53,27
9/28/2014,72,86,77,45,28
10/5/2014,78,83,78,42,28
10/12/2014,75,77,76,43,29
10/19/2014,72,82,77,41,30
10/26/2014,70,77,76,41,32
11/2/2014,75,81,79,41,23
11/9/2014,72,77,75,41,25
11/16/2014,71,74,72,42,25
11/23/2014,52,50,50,28,21
11/30/2014,66,65,68,35,25
12/7/2014,65,68,67,30,24
12/14/2014,61,63,63,29,20
12/21/2014,44,39,42,23,15
12/28/2014,58,54,59,33,19
1/4/2015,79,88,80,40,28
1/11/2015,79,89,79,39,25
1/18/2015,77,86,81,35,24
1/25/2015,77,91,79,34,29
2/1/2015,73,84,76,40,28
2/8/2015,69,80,72,31,27
2/15/2015,69,77,69,34,24
2/22/2015,72,84,74,35,30
3/1/2015,76,82,76,31,28
3/8/2015,73,81,75,33,25
3/15/2015,74,82,78,32,26
3/22/2015,74,86,79,39,31
3/29/2015,68,77,77,34,27
4/5/2015,74,80,79,32,27
4/12/2015,73,82,85,34,27
4/19/2015,73,83,81,36,27
4/26/2015,71,83,81,32,28
5/3/2015,75,83,82,34,26
5/10/2015,74,82,82,31,27
5/17/2015,75,86,81,35,26
5/24/2015,76,77,79,31,25
5/31/2015,80,82,84,32,23
6/7/2015,83,80,81,31,27
6/14/2015,81,78,80,34,27
6/21/2015,86,77,78,33,22
6/28/2015,70,69,77,32,23
7/5/2015,78,74,79,38,27
7/12/2015,81,80,80,31,25
7/19/2015,84,82,84,40,24
7/26/2015,77,77,79,36,21
8/2/2015,79,78,79,31,24
8/9/2015,77,80,81,31,24
8/16/2015,83,83,82,33,25
8/23/2015,80,82,79,31,27
8/30/2015,72,84,78,32,23
9/6/2015,72,83,70,27,26
9/13/2015,75,89,76,32,28
9/20/2015,72,81,73,30,25
9/27/2015,71,80,70,28,29
10/4/2015,72,82,71,34,27
10/11/2015,67,77,68,26,25
10/18/2015,70,76,70,24,25
10/25/2015,67,75,69,29,25
11/1/2015,74,75,69,26,26
11/8/2015,72,73,68,28,22
11/15/2015,70,67,64,27,26
11/22/2015,55,48,48,16,17
11/29/2015,69,68,65,21,24
12/6/2015,67,65,64,21,26
12/13/2015,62,60,61,19,21
12/20/2015,51,42,43,14,14
12/27/2015,61,51,53,19,17
1/3/2016,85,77,77,18,22
1/10/2016,81,82,72,19,23
1/17/2016,78,77,70,16,26
1/24/2016,80,81,73,20,26
1/31/2016,79,80,73,18,23
2/7/2016,71,73,67,17,24
2/14/2016,74,72,66,15,21
2/21/2016,77,78,71,17,23
2/28/2016,73,75,73,16,22
3/6/2016,74,71,69,16,27
3/13/2016,71,71,69,14,24
3/20/2016,73,68,68,13,21
3/27/2016,74,72,74,20,23
4/3/2016,77,77,74,16,23
4/10/2016,77,75,78,17,27
4/17/2016,71,69,77,17,26
4/24/2016,76,70,73,15,23
5/1/2016,76,69,73,16,20
5/8/2016,81,71,75,17,24
5/15/2016,83,76,75,16,22
5/22/2016,84,72,72,16,21
5/29/2016,78,64,69,13,22
6/5/2016,85,66,72,17,21
6/12/2016,85,66,70,17,21
6/19/2016,81,66,73,16,22
6/26/2016,80,62,68,16,22
7/3/2016,76,58,64,19,19
7/10/2016,81,61,72,18,21
7/17/2016,81,65,70,16,20
7/24/2016,83,63,73,15,18
7/31/2016,83,64,70,16,19
8/7/2016,76,66,69,15,19
8/14/2016,76,65,69,14,18
8/21/2016,79,70,67,14,19
8/28/2016,75,68,65,16,19
9/4/2016,77,66,61,14,21
9/11/2016,79,75,66,14,22
9/18/2016,80,74,63,18,23
9/25/2016,74,69,61,16,23
10/2/2016,70,64,60,14,22
10/9/2016,78,63,62,13,20
10/16/2016,75,66,64,16,24
10/23/2016,75,65,61,11,26
10/30/2016,74,62,61,14,22
11/6/2016,69,58,56,13,21
11/13/2016,73,65,61,13,22
11/20/2016,57,42,43,9,15
11/27/2016,73,62,62,12,20
12/4/2016,70,59,59,11,24
12/11/2016,66,54,53,10,20
12/18/2016,59,45,48,10,15
12/25/2016,58,46,47,7,15
1/1/2017,82,67,63,13,20
1/8/2017,85,75,68,15,24
1/15/2017,87,76,68,14,25
1/22/2017,87,80,69,12,24
1/29/2017,86,82,72,13,26
2/5/2017,79,73,67,13,22
2/12/2017,76,71,63,13,21
2/19/2017,78,74,66,12,23
2/26/2017,76,70,64,11,22
3/5/2017,77,74,68,14,26
3/12/2017,74,65,64,10,22
3/19/2017,76,71,67,14,22
3/26/2017,78,73,71,12,22
4/2/2017,79,72,70,14,22
4/9/2017,74,67,69,11,23
4/16/2017,78,68,70,12,24
4/23/2017,79,70,72,11,28
4/30/2017,80,71,72,14,24
5/7/2017,81,72,72,13,25
5/14/2017,81,68,68,14,23
5/21/2017,85,63,67,9,20
5/28/2017,84,60,63,13,19
6/4/2017,90,67,71,13,24
6/11/2017,94,61,65,12,20
6/18/2017,95,63,68,15,20
6/25/2017,91,61,67,13,19
7/2/2017,81,56,61,11,17
7/9/2017,100,65,69,13,21
7/16/2017,94,63,68,11,21
7/23/2017,98,66,69,11,20
7/30/2017,96,66,69,14,20
8/6/2017,92,67,66,13,20
8/13/2017,90,65,65,14,19
8/20/2017,87,62,63,11,22
8/27/2017,85,66,62,12,21
9/3/2017,77,62,57,10,23
9/10/2017,85,71,62,12,25
9/17/2017,86,71,63,12,23
9/24/2017,85,70,62,12,23
10/1/2017,83,66,62,12,21
10/8/2017,87,64,63,12,25
10/15/2017,84,66,64,12,21
10/22/2017,80,67,61,9,23
10/29/2017,78,65,60,11,23
11/5/2017,79,63,58,14,20
11/12/2017,78,65,59,9,23
11/19/2017,58,40,43,6,15
11/26/2017,77,62,60,10,23
12/3/2017,73,58,56,10,23
12/10/2017,72,54,57,11,23
12/17/2017,66,46,51,9,19
12/24/2017,59,41,44,8,13
12/31/2017,82,59,57,11,21
1/7/2018,88,75,65,12,24
1/14/2018,85,70,64,13,20
1/21/2018,87,76,67,12,26
1/28/2018,84,76,68,12,22
2/4/2018,82,75,65,12,26
2/11/2018,78,69,61,11,21
2/18/2018,76,66,60,11,22
2/25/2018,77,70,63,12,21
3/4/2018,78,71,67,12,22
3/11/2018,76,64,61,10,21
3/18/2018,78,69,63,10,21
3/25/2018,79,66,65,9,19
4/1/2018,82,68,70,8,24
4/8/2018,82,67,69,7,23
4/15/2018,80,67,68,9,21
4/22/2018,83,70,68,11,21
4/29/2018,83,66,66,10,21
